symbol,updateTime,currentFvg_type,currentFvg_high,currentFvg_low,currentFvg_mid,currentFvg_openType,currentFvg_closeType,currentFvg_timestamp,currentFvg_time,upFvg_type,upFvg_high,upFvg_low,upFvg_mid,upFvg_openType,upFvg_closeType,upFvg_timestamp,upFvg_time,downFvg_type,downFvg_high,downFvg_low,downFvg_mid,downFvg_openType,downFvg_closeType,downFvg_timestamp,downFvg_time,currentPrice
WCTUSDT,18/06/2025 08:06:21,up,0.4003,0.342,0.37115,down,down,1744761600000,16.04.2025 00:00,,,,,,,,,up,0.3961,0.3877,0.3919,down,up,1746576000000,07.05.2025 00:00,0.3612
ETHFIUSDT,18/06/2025 08:06:21,up,1.0762,0.7481,0.91215,up,down,1746835200000,10.05.2025 00:00,down,0.8427,0.8412,0.84195,up,down,1741219200000,06.03.2025 00:00,down,1.0752,1.0743,1.0747499999999999,down,up,1749945600000,15.06.2025 00:00,1.0051
INITUSDT,18/06/2025 08:06:21,,,,,,,,,,,,,,,,,down,0.6701,0.5803,0.6252,down,up,1749686400000,12.06.2025 00:00,0.5024
ARBUSDT,18/06/2025 08:06:21,up,0.3222,0.3045,0.31335,down,up,1745280000000,22.04.2025 00:00,up,0.3005,0.2907,0.2956,up,up,1745020800000,19.04.2025 00:00,down,0.3195,0.3109,0.31520000000000004,down,up,1746316800000,04.05.2025 00:00,0.3065
GOATUSDT,18/06/2025 08:06:21,up,0.15631,0.09133,0.12382,up,down,1746748800000,09.05.2025 00:00,down,0.08678,0.08623,0.086505,down,up,1745971200000,30.04.2025 00:00,down,0.10565,0.10193,0.10379,down,up,1749859200000,14.06.2025 00:00,0.0985
MUBARAKUSDT,18/06/2025 08:06:21,up,0.04793,0.03174,0.039834999999999995,up,down,1746748800000,09.05.2025 00:00,down,0.03484,0.02962,0.03223,up,down,1746230400000,03.05.2025 00:00,up,0.03397,0.0339,0.033935,down,up,1749945600000,15.06.2025 00:00,0.033
ONDOUSDT,18/06/2025 08:06:21,up,0.7667,0.7404,0.7535499999999999,down,up,1731110400000,09.11.2024 00:00,up,0.7654,0.7325,0.74895,up,down,1727136000000,24.09.2024 00:00,down,0.7675,0.7594,0.76345,down,up,1729641600000,23.10.2024 00:00,0.7567
OPUSDT,18/06/2025 08:06:21,,,,,,,,,,,,,,,,,down,0.5922,0.583,0.5875999999999999,down,down,1750032000000,16.06.2025 00:00,0.5637
UNIUSDT,18/06/2025 08:06:21,down,7.485,7.298,7.391500000000001,up,down,1749859200000,14.06.2025 00:00,down,7.449,7.388,7.4185,down,down,1727654400000,30.09.2024 00:00,down,7.55,7.39,7.47,down,down,1730505600000,02.11.2024 00:00,7.452
1000SHIBUSDT,18/06/2025 08:06:21,down,0.012302,0.011415,0.011858500000000001,up,up,1743897600000,06.04.2025 00:00,up,0.011623,0.011415,0.011519,down,down,1744156800000,09.04.2025 00:00,down,0.01203,0.011856,0.011943,down,down,1750032000000,16.06.2025 00:00,0.011748
